fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.0695860550592246,0.0675100684165955,0.0152675181888758,0.000233097111647653
"2",0.112234797666237,0.115397572517395,0.0179756531699954,0.000323124106887967
"3",0.0958719396229946,0.0936493612825871,0.0111576965987994,0.00012449419339086
"4",0.0556172445813246,0.0551263727247715,0.0139573761071006,0.000194808347795063
"5",0.0581991708098814,0.046552374958992,0.0354844132755202,0.00125914358550792
"6",0.0458536375718197,0.045299906283617,0.00891204276344149,7.94245062174098e-05
"7",0.0637933314942262,0.0618540495634079,0.01105478025428,0.000122208166470418
"8",0.0635052605777605,0.061827477067709,0.0125156596873572,0.000156641737409739
