fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.700533059225622,0.765066087245941,0.147564353480563,0.0217752384181364
"2",0.798678335247424,0.814504742622375,0.0455985645145981,0.00207922908579196
"3",0.836634463523594,0.837946712970734,0.0270699548076129,0.000732782453286205
"4",0.619118524550723,0.617881178855896,0.0273507052473331,0.000748061077526495
"5",0.579794996205112,0.557730734348297,0.0609132216987735,0.00371042057772393
"6",0.588065257873261,0.59994050860405,0.0473516881415123,0.00224218236985104
"7",0.585428184120233,0.600343525409698,0.0577396039135179,0.00333386186008993
"8",0.227092644621929,0.210859745740891,0.0562836821764686,0.00316785287934173
