fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.373432584493601,0.373660326004028,0.0266627591999063,0.00071090272815219
"2",0.344585398549602,0.341451779007912,0.0258527945050651,0.000668366983721123
"3",0.483953104597149,0.477284118533134,0.0297688320228217,0.000886183360002975
"4",0.270945958360295,0.270303755998611,0.0251166076579996,0.000630843980245882
"5",0.288879323365359,0.262840986251831,0.0577251851812551,0.0033321970042102
"6",0.280973809147004,0.278025239706039,0.0247637984086215,0.000613245711622845
"7",0.275168099015007,0.276774749159813,0.0501326255972579,0.00251328014927483
"8",0.381859131687356,0.388414174318314,0.0422030019081443,0.00178109337005883
