fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.777446939811115,0.784924626350403,0.0324575134305397,0.00105349017809367
"2",0.75927159460199,0.761273801326752,0.0198589126535939,0.000394376411783072
"3",0.747907828562187,0.745357930660248,0.0162942051463042,0.000265501121349846
"4",0.523836900335802,0.525129079818726,0.0168262263800913,0.00028312189419408
"5",0.608115036528686,0.597709119319916,0.0589274535579337,0.00347244478282243
"6",0.496589485582134,0.492070972919464,0.0243244767301176,0.000591680168194035
"7",0.604084374812933,0.602677464485168,0.0262129398227473,0.000687118214150969
"8",0.75476743785906,0.762185037136078,0.0399429204947933,0.00159543689765338
