fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.399321585508197,0.389929443597794,0.0695418351767951,0.00483606683975654
"2",0.452779726854107,0.445740073919296,0.0481632386900898,0.00231969756111857
"3",0.706683994942597,0.707027196884155,0.0305105878342629,0.00093089596999227
"4",0.685173691614814,0.681578874588013,0.0275804626094367,0.000760681917750536
"5",0.655470784866449,0.65200674533844,0.0443746920054356,0.00196911329057727
"6",0.66026499237562,0.662608027458191,0.0348851601351695,0.00121697439765642
"7",0.482633193584986,0.462666019797325,0.0732359050172546,0.00536349778369634
"8",0.494243433674177,0.491281539201736,0.0341091650373963,0.00116343513954834
