fid,NDVI_mean,NDVI_median,NDVI_stdev,NDVI_variance
"1",0.100122835889768,0.0959742330014706,0.0166905234585346,0.000278573573319894
"2",0.100403115283323,0.0999180898070335,0.00563458996032476,3.17486040209926e-05
"3",0.24301241955795,0.238970510661602,0.0242872158251439,0.000589868852537122
"4",0.335433903156791,0.337755739688873,0.0278879104955765,0.000777735551809285
"5",0.177723340895386,0.16651614010334,0.0419726158735915,0.00176170048327206
"6",0.308162982313378,0.313714608550072,0.0398952851129534,0.00159163377424384
"7",0.128751129328882,0.115866161882877,0.0354329184185079,0.00125549170765264
"8",0.113583125819763,0.11074124276638,0.0189113897446168,0.000357640662072799
